---------- Thickness Values (um) of PbWhite ----------
row	column	thickness
15	62	6.000040
15	63	3.844919
15	64	1.860617
15	65	5.194617
15	66	4.188943
15	67	3.574536
15	68	0.000000
15	69	0.000000
15	70	0.000000
15	71	0.000000
15	72	0.000000
15	73	0.000000
15	74	0.000000
15	75	0.000000
15	76	0.000000
16	0	0.000000
16	1	0.000000
16	2	0.000000
16	3	0.000000
16	4	0.000000
16	5	0.000000
16	6	0.000000
16	7	4.984271
16	8	3.054783
16	9	5.244798
16	10	5.828514
16	11	0.000000
16	12	4.760686
16	13	3.328533
16	14	0.000000
16	15	4.863487
16	16	3.266280
16	17	3.978521
16	18	6.668053
16	19	3.102452
16	20	5.501241
16	21	4.109889
16	22	3.863561
16	23	4.434065
16	24	3.206177
16	25	3.703883
16	26	4.450328
16	27	3.211122
16	28	4.103144
16	29	3.917386
16	30	6.359596
16	31	5.609271
16	32	5.827538
16	33	4.993815
16	34	6.212914
16	35	4.836824
16	36	4.021507
16	37	2.645464
16	38	5.662691
16	39	6.864881
16	40	5.568976
16	41	7.057226
16	42	3.660300
16	43	3.892005
16	44	3.511319
16	45	5.653464
16	46	4.127622
16	47	5.046695
16	48	3.892830
16	49	2.248624
16	50	3.801667
16	51	4.903259
16	52	3.697414
16	53	2.981766
16	54	2.276091
16	55	5.436761
16	56	6.596849
16	57	6.120856
16	58	7.495780
16	59	4.541431
16	60	5.268099
16	61	2.652278
16	62	3.673920
16	63	6.745559
16	64	5.172471
16	65	4.400985
16	66	3.789503
16	67	3.975447
16	68	8.616147
16	69	0.000000
16	70	0.000000
16	71	0.000000
16	72	0.000000
16	73	0.000000
16	74	0.000000
16	75	0.000000
16	76	0.000000
17	0	0.000000
17	1	0.000000
17	2	0.000000
17	3	0.000000
17	4	0.000000
17	5	0.000000
17	6	0.000000
17	7	0.000000
17	8	3.124512
17	9	4.410432
17	10	2.567912
17	11	5.752073
17	12	2.534351
17	13	3.863320
17	14	5.682922
17	15	0.000000
17	16	3.020777
17	17	5.326972
17	18	4.623521
17	19	4.588914
17	20	2.190736
17	21	2.453237
17	22	5.688234
17	23	0.000000
17	24	0.000000
17	25	4.361995
17	26	4.600580
17	27	3.368878
17	28	3.516453
17	29	4.950449
17	30	5.508510
17	31	5.043738
17	32	4.918204
17	33	3.850473
17	34	4.413900
17	35	2.752539
17	36	8.465957
17	37	4.618538
17	38	3.331842
17	39	5.354790
17	40	4.707523
17	41	6.412205
17	42	5.247601
17	43	2.469413
17	44	5.330935
17	45	3.807187
17	46	5.344032
17	47	4.711830
17	48	5.089455
17	49	2.685208
17	50	4.888744
17	51	4.020659
17	52	3.968112
17	53	4.738960
17	54	5.863067
17	55	5.479085
17	56	4.950393
17	57	4.457052
17	58	5.731125
17	59	4.985089
17	60	4.012943
17	61	6.375519
17	62	5.343626
17	63	4.119685
17	64	3.233065
17	65	3.174735
17	66	2.653319
17	67	6.778027
17	68	4.931362
17	69	0.000000
17	70	0.000000
17	71	0.000000
17	72	0.000000
17	73	0.000000
17	74	0.000000
17	75	0.000000
17	76	0.000000
18	0	0.000000
18	1	0.000000
18	2	0.000000
18	3	0.000000
18	4	0.000000
18	5	0.000000
18	6	3.074841
18	7	3.909695
18	8	4.434065
18	9	3.621369
18	10	3.834142
18	11	5.198096
18	12	6.594777
18	13	2.319541
18	14	4.694085
18	15	1.492140
18	16	4.750265
18	17	2.986690
18	18	3.423382
18	19	4.302467
18	20	4.304124
18	21	3.925555
18	22	7.037396
18	23	0.459948
18	24	4.692255
18	25	5.124612
18	26	5.531755
18	27	4.492608
18	28	3.405479
18	29	3.736981
18	30	5.209639
18	31	2.072972
18	32	6.848703
18	33	5.882424
18	34	5.066542
18	35	4.444873
18	36	7.684316
18	37	6.967503
18	38	3.759548
18	39	5.980130
18	40	5.553223
18	41	5.356702
18	42	5.369853
18	43	5.532238
18	44	5.342663
18	45	5.132673
18	46	4.340171
18	47	7.146355
18	48	5.667254
18	49	4.481408
18	50	3.081222
18	51	5.507225
18	52	4.131375
18	53	4.368550
18	54	5.111084
18	55	4.182367
18	56	6.843459
18	57	4.929146
18	58	8.595495
18	59	5.053181
18	60	6.487667
18	61	5.539359
18	62	6.819122
18	63	5.278338
18	64	6.411710
18	65	5.480263
18	66	2.894183
18	67	3.804557
18	68	5.045438
18	69	6.408098
18	70	0.000000
18	71	0.000000
18	72	0.000000
18	73	0.000000
18	74	0.000000
18	75	0.000000
18	76	0.000000
19	0	0.000000
19	1	0.000000
19	2	0.000000
19	3	0.000000
19	4	0.000000
19	5	0.000000
19	6	0.000000
19	7	0.000000
19	8	4.498045
19	9	0.000000
19	10	3.425530
19	11	5.929111
19	12	4.599499
19	13	4.208649
19	14	2.285676
19	15	1.885268
19	16	3.555834
19	17	6.277325
19	18	3.416510
19	19	4.126976
19	20	0.000000
19	21	3.855973
19	22	3.171878
19	23	0.000000
19	24	3.997810
19	25	5.815141
19	26	2.810642
19	27	3.618098
19	28	3.626618
19	29	2.905173
19	30	4.747158
19	31	3.791094
19	32	4.583441
19	33	6.593753
19	34	7.416196
19	35	4.817194
19	36	7.837404
19	37	7.064853
19	38	5.119966
19	39	7.480478
19	40	2.752539
19	41	7.487731
19	42	4.805156
19	43	5.204939
19	44	5.805813
19	45	4.979042
19	46	3.322553
19	47	5.038399
19	48	8.061376
19	49	5.682922
19	50	2.816271
19	51	3.795713
19	52	2.050052
19	53	6.029478
19	54	4.629717
19	55	6.481004
19	56	6.475841
19	57	4.855357
19	58	7.991974
19	59	5.566723
19	60	5.181296
19	61	6.133434
19	62	5.210445
19	63	5.167323
19	64	4.750265
19	65	3.435077
19	66	5.342581
19	67	7.950241
19	68	5.513897
19	69	2.343141
19	70	0.000000
19	71	0.000000
19	72	0.000000
19	73	0.000000
19	74	0.000000
19	75	0.000000
19	76	0.000000
20	0	0.000000
20	1	0.000000
